GRB,Tstart,E051,k,dk,B14,dB14,fmHz,dfmHz,alpha,dalpha,chi2,dof,p-val
050315,138.141837167,12.8831010164,1.50000,0.53684,2.62727,0.21894,4.29004,0.09716,0.00000,0.58680,6.17328,184.00000,1.00000
050318,21.5085024693,7.71321771578,1.50000,5.29955,13.39244,7.27139,3.31947,0.12637,1.00000,3.30533,56.18432,75.00000,0.94865
050401,16.5552366419,139.957269411,0.86467,0.04351,4.66186,0.16827,14.13998,0.22700,0.00000,0.33911,107.18991,318.00000,1.00000
050505,23.888527738,53.5240417636,1.05795,0.55555,5.03380,0.44245,8.74431,0.11423,0.78814,0.79927,183.43465,190.00000,0.62037
050730,50.5409744771,1583.03078239,1.50000,0.66066,1.59387,0.10516,47.55494,0.52418,1.00000,0.48013,2406.84234,527.00000,0.00000
050904,86.5510760604,807.574948701,0.93688,0.41690,1.28817,0.19717,33.96584,3.25720,1.00000,1.90185,2413.66404,206.00000,0.00000
060115,271.582510113,15.8706290138,0.48560,0.18015,6.25235,0.79180,4.76155,0.32149,0.00000,2.27561,9.97881,20.00000,0.96855
060418,145.814479827,49.7111307271,0.30685,0.02297,0.00010,10.24333,8.42709,0.29923,0.00373,0.00000,101.62673,104.00000,0.54756
060512,10.200895678,18.4356741753,0.37238,0.04489,0.18274,0.18495,5.13193,0.34951,0.00000,282.60464,43.20596,35.00000,0.16072
060522,145.867583983,8.299173648,0.79992,7.68092,27.46713,35.47789,3.44325,2.08247,0.18914,21.62532,1.91955,7.00000,0.96416
060604,27.1739130435,221.695115893,0.53111,0.03422,0.03669,0.01474,17.79627,0.86338,0.00000,128.65951,1958.01034,195.00000,0.00000
060707,271.39152023,25.4473242457,0.59576,0.11795,2.98581,0.28649,6.02937,0.22258,0.00000,1.32149,19.64132,24.00000,0.71698
060926,23.8095238095,7.95383105135,1.50000,0.94234,27.84323,3.65105,3.37085,0.15338,0.00000,1.09241,6.43424,19.00000,0.99667
060927,4.25692226173,26.8202228055,0.63831,0.58349,19.47009,1.74908,6.18988,0.91102,1.00000,3.41940,1.47297,14.00000,0.99999
070110,29.8507462687,26.3923013044,0.37871,0.14864,6.17421,0.95537,6.14030,0.34625,1.00000,2.07405,1444.37752,187.00000,0.00000
070518,902.705833221,0.401520299038,0.49514,0.62999,13.85280,3.66526,0.75736,0.09508,0.00000,5.55526,11.97262,7.00000,0.10146
070802,135.575403272,2.11051028899,0.98261,0.93147,15.84387,5.05712,1.73638,0.21316,0.00000,4.61564,14.99601,7.00000,0.03605
071020,317.863954228,627.706158105,0.04171,0.04173,99.48526,43131096.25767,29.94533,2067146.39229,1.00000,173977.45739,135.05603,85.00000,0.00045
080411,49.2610837438,55.4164723814,0.31649,0.02016,4.88601,0.44243,8.89755,0.14583,1.00000,0.58390,302.61056,397.00000,0.99986
080607,108.048473327,65.2374374189,0.76416,0.11524,14.56154,0.95624,9.65383,0.19939,1.00000,0.66298,72.37059,111.00000,0.99830
080710,54.2005420054,2.71015331575,0.58495,0.26487,21.68131,2.69743,1.96765,0.10587,1.00000,1.65030,80.50501,62.00000,0.05718
080721,5.29294643879,278.17600669,0.74546,0.07460,6.93457,0.08908,19.93475,0.23503,0.00000,0.31913,899.16231,1380.00000,1.00000
080810,123.455585372,25.7035495002,1.21605,14.52207,11.47276,26.75070,6.05965,0.96041,0.24465,15.31767,33.25190,59.00000,0.99728
080928,234.556633636,5.55305860862,0.97641,0.80080,18.25681,1.58107,2.81655,0.17590,1.00000,1.73283,62.27496,73.00000,0.81039
081008,267.721009344,7.85290894728,1.49377,24.13769,14.29594,44.65020,3.34939,0.17022,0.39913,14.73691,28.33065,43.00000,0.95861
090102,8.20296871164,58.202538648,0.44970,0.04188,17.46775,2.97784,9.11847,0.29436,1.00000,0.90537,103.97300,135.00000,0.97803
090423,67.0211958545,48.4905038864,1.50000,2.37223,8.25083,2.33424,8.32299,0.25308,0.20121,1.60079,16.93540,38.00000,0.99876
090519,20.618556701,246.817244214,1.07354,0.19072,0.10102,0.08462,18.77754,5.73402,0.00000,1338.71262,15.23446,19.00000,0.70758
090529,759.787228507,18.5122412324,1.12568,12.98079,2.46394,6.32860,5.14257,0.20456,0.00000,15.45113,0.42863,5.00000,0.99450
090812,219.750166579,55.8835842353,0.38118,0.21005,10.83211,3.97302,8.93497,0.37173,1.00000,3.86635,12.84282,27.00000,0.99021
090927,421.94092827,1.43819605173,0.43126,0.57285,17.82147,2.53594,1.43338,0.06987,1.00000,4.19726,27.71913,25.00000,0.32094
091020,59.8453910465,12.934937775,0.40387,0.11766,23.61912,0.98127,4.29866,0.12074,0.00000,1.32486,168.07872,206.00000,0.97521
051016B,112.980872958,2.5710913142,1.14491,0.19486,9.42335,0.50480,1.91650,0.04584,0.00000,0.57036,70.42253,63.00000,0.24327
051109A,164.042051898,54.7681585366,0.29427,0.06518,6.09175,0.69481,8.84535,0.21437,0.77717,1.18618,215.20238,161.00000,0.00279
